chain,ip,manual,old_city,old_country,new_city,new_country,confidence,distance_km,completed,globalping_id,reasons
everscale,15.235.51.39,False,Montreal,Canada,Montreal,Canada,approximate,0.0,True,,
everscale,38.242.157.212,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2Pzg970UrFWkmdntQ000216iE,country disagreement: ip-api / dbip
everscale,45.92.128.227,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,45.92.128.241,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,45.92.128.245,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,45.92.128.247,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,45.92.128.248,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,45.92.128.251,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,45.139.24.8,False,Moscow,Russia,Moscow,Russia,measured_metro,0.237,True,2o2ZQDcaGYFhXq11S000216iE,"coordinates differ by over 100 km: ip-api / dbip; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
everscale,51.68.21.41,False,Roubaix,France,Roubaix,France,approximate,0.0,True,,
everscale,54.36.131.208,True,Roubaix,France,Roubaix,France,manual,0.0,False,,
everscale,62.122.168.226,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
everscale,62.122.168.228,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
everscale,62.149.6.2,False,Kyiv,Ukraine,Kyiv,Ukraine,approximate,0.0,True,,
everscale,87.117.19.226,False,Azov,Russia,Azov,Russia,approximate,0.0,True,,
everscale,88.99.90.116,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
everscale,89.117.59.119,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,24QyzcvzWq5H90F23000216iE,country disagreement: ip-api / dbip; coordinates differ by over 100 km: ip-api / ipwho.is
everscale,89.117.59.125,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2R1HN5axMexl9k8kL000216iG,country disagreement: ip-api / dbip; coordinates differ by over 100 km: ip-api / ipwho.is
everscale,94.130.9.146,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
everscale,95.165.68.62,False,Moscow,Russia,Moscow,Russia,approximate,0.0,True,,
everscale,104.238.222.200,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
everscale,136.243.124.152,False,Nuremberg,Germany,Nuremberg,Germany,operator_city,0.0,True,,
everscale,141.94.141.16,False,Strasbourg,France,Strasbourg,France,approximate,0.0,True,,
everscale,141.95.84.84,False,Limburg an der Lahn,Germany,Limburg an der Lahn,Germany,approximate,0.0,True,,
everscale,141.95.85.230,False,Limburg an der Lahn,Germany,Limburg an der Lahn,Germany,approximate,0.0,True,,
everscale,141.95.85.234,False,Limburg an der Lahn,Germany,Limburg an der Lahn,Germany,approximate,0.0,True,,
everscale,141.95.85.235,False,Limburg an der Lahn,Germany,Limburg an der Lahn,Germany,approximate,0.0,True,,
everscale,141.95.85.239,False,Limburg an der Lahn,Germany,Limburg an der Lahn,Germany,approximate,0.0,True,,
everscale,141.95.156.198,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
everscale,141.95.204.122,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
everscale,141.227.165.68,False,Vienna,Austria,Vienna,Austria,approximate,0.0,True,,
everscale,146.59.138.197,False,Roubaix,France,Roubaix,France,approximate,0.0,True,,
